"Source #","Source Name","Source Alias","Source Type","Source Department","Canonical Department","Existing LIS Match","Match Type","Canonical Proposed Identity","Workflow","Conflict","Required Next Action"
"107","DHEA","","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","DHEA","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"108","Troponin I","","Single parameter","Biochemistry","Clinical Biochemistry / Immunoassay","","MissingDraftCandidate","Troponin I","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"109","Creatine Kinase","CPK-Total","Single parameter","Biochemistry","Clinical Biochemistry","CK_TOTAL — Creatine Kinase Total [Draft/NoClinicalReport; clinical=false]","ExactExisting","CK_TOTAL — Creatine Kinase Total","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"110","CK-MB","","Single parameter","Biochemistry","Clinical Biochemistry","CK_MB — Creatine Kinase MB [Draft/NoClinicalReport; clinical=false]","ConflictRequiresReview","CK_MB — CK-MB","RoutineSingleParameter","CPK-MB/CK-MB duplicate candidate","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"111","D-Dimer","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","D-Dimer","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"112","Calcitonin","","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","Calcitonin","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"113","Indirect Coomb's Test","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Indirect Coomb's Test","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"114","Direct Coomb's Test","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Direct Coomb's Test","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"115","CA 125","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CA 125","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"116","CA 15-3","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CA 15-3","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"117","CA 19-9","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CA 19-9","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"118","CA 50","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CA 50","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"119","CA 242","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CA 242","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"120","CA 72-4","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CA 72-4","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"121","H-ALB","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","H-ALB","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"122","Anti cyclic-citrullinated-peptide","CCP","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Anti cyclic-citrullinated-peptide","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"123","Arterial Blood Gas","ABG","Multi parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Arterial Blood Gas","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"124","Iron","","Single parameter","Biochemistry","Clinical Biochemistry","IRON — Serum Iron [Active/Routine; clinical=false]","ExactExisting","IRON — Serum Iron","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"125","Total Iron Binding Capacity (TIBC)","","Single parameter","Biochemistry","Clinical Biochemistry","TIBC — Total Iron Binding Capacity (TIBC) [Active/Routine; clinical=false]","ExactExisting","TIBC — Total Iron Binding Capacity (TIBC)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"126","Transferrin Saturation","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","Transferrin Saturation — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"127","Non-HDL cholesterol","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","Non-HDL Cholesterol — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"128","UIBC","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","UIBC","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"129","eGFR","","Single parameter","Biochemistry","Clinical Biochemistry","EGFR — Estimated Glomerular Filtration Rate [Draft/NoClinicalReport; clinical=false]","ConflictRequiresReview","EGFR — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"130","eGFR Category","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","eGFR Category — derived interpretation","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"131","C3 Complement","C3","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","C3 Complement","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"132","High-Sensitivity C-Reactive Protein","HsCRP","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","High-Sensitivity C-Reactive Protein","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"133","ANTI MULLERIAN HORMONE","AMH","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","ANTI MULLERIAN HORMONE","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"134","Ammonia","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Ammonia","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"135","Magnesium","","Single parameter","Biochemistry","Clinical Biochemistry","MAGNESIUM — Serum Magnesium [Active/Routine; clinical=false]","ExactExisting","MAGNESIUM — Serum Magnesium","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"136","Glucose Tolerance Test, GTT (Pregnancy)","","Multi parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Glucose Tolerance Test, GTT (Pregnancy)","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"137","SGOT/SGPT","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","AST/ALT ratio — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"138","NT- ProBNP (N-TERMINAL PRO B TYPE NATRIURETIC PEPTIDE)","NT- ProBNP","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","NT- ProBNP (N-TERMINAL PRO B TYPE NATRIURETIC PEPTIDE)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"139","Glucose Challenge Test (GCT); Pregnancy , 75g Glucose","GCT","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Glucose Challenge Test (GCT); Pregnancy , 75g Glucose","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"140","Serum Procalcitonin","PCT","Single parameter","Biochemistry","Endocrinology / Hormone","","ConflictRequiresReview","Procalcitonin — reconcile with source #41","RoutineSingleParameter","Duplicate Procalcitonin source identities across departments; Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"141","Urine Protein Creatinine Ratio","UPCR","Single parameter","Biochemistry","Molecular Diagnostics","","MissingDraftCandidate","Urine Protein Creatinine Ratio","RoutineSingleParameter","Source department differs from proposed canonical discipline","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"142","Serum Cholinesterase","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Serum Cholinesterase","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"143","Serum Zinc","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Serum Zinc","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"144","Fasting Insulin","","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","Fasting Insulin","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"145","Bile Acid","","Multi parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Bile Acid","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"146","Homocysteine","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Homocysteine","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"147","Serum LDH","","Single parameter","Biochemistry","Clinical Biochemistry","LDH — Lactate Dehydrogenase (LDH) [Draft/NoClinicalReport; clinical=false]","AliasExisting","LDH — Lactate Dehydrogenase (LDH)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"148","Oral Glucose Challenge Test","OGCT","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Oral Glucose Challenge Test","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"149","DOUBLE MARKER, MATERNAL SCREEN-2 TESTS","","Multi parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","DOUBLE MARKER, MATERNAL SCREEN-2 TESTS","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"150","Adenosine Deaminase","ADA","Multi parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Adenosine Deaminase","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"151","Ascitic Fluid Examination","AFE","Multi parameter","Biochemistry","Clinical Pathology","","SpecialistWorkflowRequired","Ascitic Fluid Examination","StructuredClinicalPathology","Source department differs from proposed canonical discipline","create/complete dedicated StructuredClinicalPathology workflow before enabling reporting"
"152","ADA (Pleural,Pericardial or Ascitic Fluid)","ADA (Pleural,Pericardial or Ascitic Fluid)","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","ADA (Pleural,Pericardial or Ascitic Fluid)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"153","Widal (Tube Method)","","Document","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Widal (Tube Method)","Document/StructuredNarrativeReview","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"154","Widal (Slide Method)","","Document","Serology & Immunology","Serology & Immunology","","DuplicateCandidate","Widal (Slide Method)","Document/StructuredNarrativeReview","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"155","Widal Test (Slide Method)","","Multi parameter","Serology & Immunology","Serology & Immunology","","DuplicateCandidate","Widal Test (Slide Method)","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"156","Malaria Antigen","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Malaria Antigen","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"157","HIV (Card Test)","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","HIV (Card Test)","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"158","Hepatitis C Virus, HCV","HCV","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Hepatitis C Virus, HCV","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"159","VDRL","","Single parameter","Serology & Immunology","Serology & Immunology","VDRL — VDRL / RPR (Syphilis Serology) [Active/Routine; clinical=true]","AliasExisting","VDRL — VDRL / RPR (Syphilis Serology)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"160","HBsAg","","Single parameter","Serology & Immunology","Serology & Immunology","HBSAG — Hepatitis B Surface Antigen (HBsAg) [Active/Routine; clinical=true]","AliasExisting","HBSAG — Hepatitis B Surface Antigen (HBsAg)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"161","Occult Blood, Stool","","Single parameter","Serology & Immunology","Clinical Pathology","","MissingDraftCandidate","Occult Blood, Stool","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"162","Typhidot Antibodies","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Typhidot Antibodies","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"163","Rubella","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Rubella","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"164","Chikungunya","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Chikungunya","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"165","Antistreptolysin O, ASO Titer","ASO Titer","Single parameter","Serology & Immunology","Serology & Immunology","ASO.ASO_VAL — ASO Titer","ProfileComponentExisting","Antistreptolysin O, ASO Titer","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"166","Rheumatoid Factor, RA (Quantitative)","RA (Quantitative)","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Rheumatoid Factor, RA (Quantitative)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"167","Rheumatoid Factor, RA (Qualitative)","RA (Qualitative)","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Rheumatoid Factor, RA (Qualitative)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"168","C-Reactive Protein, CRP (Quantitative)","CRP (Quantitative)","Single parameter","Serology & Immunology","Serology & Immunology","CRP — C-Reactive Protein (CRP, Quantitative) [Active/Routine; clinical=false]","ExactExisting","CRP — C-Reactive Protein (CRP, Quantitative)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"169","C-Reactive Protein, CRP (Qualitative)","CRP (Qualitative)","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","C-Reactive Protein, CRP (Qualitative)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"170","Dengue NS1 Antigen","","Single parameter","Serology & Immunology","Serology & Immunology","DENGUE_NS1.DENGUE_NS1_RES — Dengue NS1 Antigen","ConflictRequiresReview","Dengue NS1 — distinct assay identity","RoutineSingleParameter","Dengue antigen/antibody/method variants are clinically and commercially distinct","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"171","Dengue (Card Method)","","Multi parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","Dengue card panel — method/panel identity","RoutineMultiParameter/Profile","Dengue antigen/antibody/method variants are clinically and commercially distinct","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"172","Beta Human Chorionic Gonodotropin (HCG)","Beta hCG","Single parameter","Serology & Immunology","Serology & Immunology","BETA HCG — Beta HCG [Active/Routine; clinical=true] | BETA_HCG — Beta-Human Chorionic Gonadotropin (Beta-hCG) [Active/Routine; clinical=false]","ConflictRequiresReview","BETA_HCG — Beta-hCG","RoutineSingleParameter","Multiple existing Beta-hCG identities/departments","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"173","Free PSA","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Free PSA","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"174","IgA (Urine)","","Single parameter","Serology & Immunology","Clinical Pathology","","MissingDraftCandidate","IgA (Urine)","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"175","Total PSA","","Single parameter","Serology & Immunology","Serology & Immunology","PSA — Prostate Specific Antigen (PSA, Total) [Active/Routine; clinical=false]","AliasExisting","PSA — Prostate Specific Antigen (PSA, Total)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"176","Anti-HBc","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti-HBc","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"177","Anti-HBs","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti-HBs","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"178","Anti-HBe","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti-HBe","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"179","HBeAg","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","HBeAg","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"180","Anti-HAV","","Single parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","Anti-HAV — antibody identity requiring assay review","RoutineSingleParameter","HAV total/IgM/IgG and qualitative/panel variants require assay-level review","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"181","HAV IgM","","Single parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","HAV IgM","RoutineSingleParameter","HAV total/IgM/IgG and qualitative/panel variants require assay-level review","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"182","Anti Nuclear Antibody (ANA) by ELISA","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti Nuclear Antibody (ANA) by ELISA","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"183","Insulin Random","","Single parameter","Serology & Immunology","Endocrinology / Hormone","","MissingDraftCandidate","Insulin Random","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"184","Testosterone Free","","Single parameter","Serology & Immunology","Endocrinology / Hormone","","MissingDraftCandidate","Testosterone Free","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"185","Testosterone Total","","Single parameter","Serology & Immunology","Endocrinology / Hormone","","MissingDraftCandidate","Testosterone Total","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"186","Progesterone","","Single parameter","Serology & Immunology","Endocrinology / Hormone","","MissingDraftCandidate","Progesterone","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"187","Myoglobin","","Single parameter","Serology & Immunology","Clinical Biochemistry / Immunoassay","","MissingDraftCandidate","Myoglobin","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"188","Beta 2 Glycoprotein 1, IgG","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Beta 2 Glycoprotein 1, IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"189","Beta 2 Glycoprotein 1, IgM","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Beta 2 Glycoprotein 1, IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"190","Anti Phospholipid IgG","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti Phospholipid IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"191","Anti Phospholipid IgM","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti Phospholipid IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"192","Anti Cardiolipin IgG","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti Cardiolipin IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"193","Anti Cardiolipin IgM","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Anti Cardiolipin IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"194","WEIL FELIX TEST, SERUM","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","WEIL FELIX TEST, SERUM","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"195","Dengue IgG","","Single parameter","Serology & Immunology","Serology & Immunology","DENGUE_IGG — Dengue IgG Antibody (Rapid) [Active/Routine; clinical=true]","ConflictRequiresReview","Dengue IgG — distinct assay identity","RoutineSingleParameter","Dengue antigen/antibody/method variants are clinically and commercially distinct","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"196","Dengue IgM","","Single parameter","Serology & Immunology","Serology & Immunology","DENGUE_IGM — Dengue IgM Antibody (Rapid) [Active/Routine; clinical=true]","ConflictRequiresReview","Dengue IgM — distinct assay identity","RoutineSingleParameter","Dengue antigen/antibody/method variants are clinically and commercially distinct","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"197","Dengue IgG & IgM","","Multi parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","Dengue IgG/IgM panel","RoutineMultiParameter/Profile","Dengue antigen/antibody/method variants are clinically and commercially distinct","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"198","Serum Cortisol","","Single parameter","Serology & Immunology","Endocrinology / Hormone","","DuplicateCandidate","Serum Cortisol","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"199","Scrub Typhus","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Scrub Typhus","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"200","TB GOLD, Interferon Gamma Release Assay","","Multi parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","TB GOLD, Interferon Gamma Release Assay","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"201","Treponema Pallidum Hemagglutination Assay","TPHA","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","Treponema Pallidum Hemagglutination Assay","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"202","Troponin I Rapid","","Single parameter","Serology & Immunology","Clinical Biochemistry / Immunoassay","","MissingDraftCandidate","Troponin I Rapid","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"203","Anti-HAV (Hepatitis A Virus Antibody)","","Multi parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","Anti-HAV panel/identity requiring review","RoutineMultiParameter/Profile","HAV total/IgM/IgG and qualitative/panel variants require assay-level review","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"204","Anti-HAV IgM Qualitative","","Single parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","HAV IgM qualitative","RoutineSingleParameter","HAV total/IgM/IgG and qualitative/panel variants require assay-level review","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"205","Anti-HAV IgG Qualitative","","Single parameter","Serology & Immunology","Serology & Immunology","","ConflictRequiresReview","HAV IgG qualitative","RoutineSingleParameter","HAV total/IgM/IgG and qualitative/panel variants require assay-level review","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"206","LEISHMANIA rK-39 ANTIBODY, SERUM","KALA AZAR","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","LEISHMANIA rK-39 ANTIBODY, SERUM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"207","ASO (Anti-Streptolysin O) Qualitative","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","ASO (Anti-Streptolysin O) Qualitative","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"208","HIV ELISA I/II","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","HIV ELISA I/II","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"209","HBsAg ELISA","","Single parameter","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","HBsAg ELISA","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"210","HCV RNA Quantitative","","Multi parameter","Serology & Immunology","Molecular Diagnostics","","SpecialistWorkflowRequired","HCV RNA Quantitative — molecular assay","MolecularAssay","Source department differs from proposed canonical discipline","create/complete dedicated MolecularAssay workflow before enabling reporting"
"211","ALLERGY SCREENING TEST","","Document","Serology & Immunology","Serology & Immunology","","MissingDraftCandidate","ALLERGY SCREENING TEST","Document/StructuredNarrativeReview","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"212","Cortisol","","Multi parameter","Serology & Immunology","Endocrinology / Hormone","","DuplicateCandidate","Cortisol","RoutineMultiParameter/Profile","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"213","BRAC1 BRAC2","GENETIC TEST","Single parameter","Serology & Immunology","Molecular Diagnostics","","SpecialistWorkflowRequired","BRCA1/BRCA2 — molecular/genetic assay","MolecularAssay","Source department differs from proposed canonical discipline","create/complete dedicated MolecularAssay workflow before enabling reporting"
"214","Urine for creatinine","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for creatinine","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"215","Urine for ELISA (Pregnancy)","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for ELISA (Pregnancy)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"216","Urine for Fungal","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for Fungal","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"217","Urine for Ketone","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for Ketone","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"218","Urine for Microalbumin","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for Microalbumin","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"219","Urine for Protein","","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine for Protein","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"220","Urine Pregnancy Test","UPT","Single parameter","Clinical Pathology","Clinical Pathology","","MissingDraftCandidate","Urine Pregnancy Test","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"221","Urine for AFB 24 hours","","Single parameter","Clinical Pathology","Microbiology","","MissingDraftCandidate","Urine for AFB 24 hours","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
